id	sentence1	sentence2	is_duplicate
201692 2e9951bd-2771-4b33-bfe8-6bdc3876d78d	Names of tanks in fury?	Could a person with bipolar disorder have trouble sleeping because of depression?	0.0
207194 401c5498-0286-4649-92df-cefbedc17653	Why do people who wear regular spectacles get dark circles around their eyes?	What causes the dark circles under our eyes? How can we treat this?	0.0
283208 f07f172a-4cde-4f25-bace-6e5bd28bae21	What is an intuitive explanation of Bayes' Rule?	What is an intuitive explanation of Jensen's Inequality?	0.0
122165 aebdae94-07cd-42c3-a838-62153cd56992	How is the job prospects for an Indian Student after completing a master degree in Industrial engineering in Ireland?	Is it possible for Indian students to get a job in USA after completing a master’s from U.K.?	0.0
129849 a093b3fb-4b5b-473a-a736-a7035b1c09b4	Why can't Muslims celebrate Christmas?	How do Muslims celebrate Christmas?	0.0
41389 c64372fb-6ab4-43e7-9c01-c0ba96531100	Why are art students so undisciplined?	What is the best art school in Canada?	0.0
326861 e5190354-52b9-4c55-9f87-811ac18a81f0	When a man gets a vasectomy, where does the sperm go?	What happens to sperm when man has vasectomy and shoots his load?	1.0
158519 80b4b170-6d8d-46de-8266-d277029abbd2	Which are the best dancing bollywood songs for girls (2015-2016)?	What are some great Bollywood dance songs?	0.0
93381 4e43d6b2-d042-4198-90a4-8b825675b658	What is the best thing to do for your wife if your father-in-law dies from a prolonged illness?	If father in law dont let you phone your wife then what to do?	0.0
129226 486ca55c-af72-4cb6-b59f-781e23ac2ea4	How do I stop worrying about future?	When will I stop thinking about what other people think?	1.0
104734 c75580a2-4cf4-49d3-9899-5c4a9f2a6e77	Was it ever possible for Germany to win World War II?	Why did Germany lose WWII?	0.0
185955 d5e55f44-5fe7-4adf-b69c-b04de0cd5ca3	Why is the U.S. so upset about Philippines President's independent peace-love foreign policy in the world?	How do you feel about President Duerte sending U.S. special forces out of the Philippines?	0.0
328890 acd291a3-c660-464b-9895-8f5e38a97c2c	Why did Indian government stopped making 1000 rupee note and started making 2000 instead?	Why did the Indian government demonetize the current 500 and 1000 rupee notes and replace them with new notes?	1.0
65789 e1c25001-2e27-444f-8135-c0c21dfcb497	What are some good self help books?	Which is the best self help book you've ever read?	0.0
226155 3e55f6ee-6e58-4da0-9060-cb306082a640	What ways are there to minimise the environmental impact of hydroelectric power plants?	What are ways to reduce environmental impact by using GMOs?	0.0
279742 73b9ffb2-dbac-4eaa-bc74-6d64c955daeb	Which TV shows are taped or aired in front of a live audience?	What is the audience for the TV show Shark Tank?	0.0
210745 be9c1ed2-2e44-43da-88d4-02778c454818	Electrical Engineering: Why is India's frequency maintained in 50 Hz only?	How will motor react to frequencies other than 50 Hz or 60 Hz?	0.0
268005 4f621239-56e8-4312-a5d0-44447e7dd7aa	What story from Christian mythology is nost relevant today in modern societies?	What story from Christian mythology is most relevant today?	0.0
